"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content","ash.content.units","consumption.for.eg","consumption.for.eg.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto","consumption.uto.units","consumption.uto.btu","consumption.uto.btu.units","cost","cost.units","cost.per.btu","cost.per.btu.units","generation","generation.units","heat.content","heat.content.units","receipts","receipts.units","receipts.btu","receipts.btu.units","stocks","stocks.units","sulfur.content","sulfur.content.units","total.consumption","total.consumption.units","total.consumption.btu","total.consumption.btu.units"
"2021-09","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",27.8795,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3152.71931,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",27.8795,"million MMBtu"
"2021-08","CA","California",98,"Electric Power","NG","natural gas",0,"percent",72362.949,"thousand Mcf",74.76479,"million MMBtu",2260.081,"thousand Mcf",2.3281,"million MMBtu",5.93,"dollars per Mcf",5.76,"dollars per million Btu",9785.20764,"thousand megawatthours",1.0331,"Btu per Mcf",63491.247,"thousand Mcf",65512.46496,"billion Btu",NA,"thousand Mcf",0,"percent",74623.03,"thousand Mcf",77.09289,"million MMBtu"
"2021-08","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",58.47036,"million MMBtu",0,"thousand physical units",0.3032,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",6433.23259,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",58.77357,"million MMBtu"
"2021-08","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",13.4732,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1523.60105,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",13.4732,"million MMBtu"
"2021-08","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",31.98388,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3616.85787,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",31.98388,"million MMBtu"
"2021-07","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",32.08588,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3628.39302,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",32.08588,"million MMBtu"
"2021-07","CA","California",98,"Electric Power","NG","natural gas",0,"percent",81658.323,"thousand Mcf",84.42156,"million MMBtu",2357.096,"thousand Mcf",2.4288,"million MMBtu",5.74,"dollars per Mcf",5.5689,"dollars per million Btu",10957.74945,"thousand megawatthours",1.0337,"Btu per Mcf",70802.206,"thousand Mcf",73120.66225,"billion Btu",NA,"thousand Mcf",0,"percent",84015.419,"thousand Mcf",86.85036,"million MMBtu"
"2021-07","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",58.24757,"million MMBtu",0,"thousand physical units",0.39987,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",6394.05409,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",58.64743,"million MMBtu"
"2021-07","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",12.75735,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1442.64974,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",12.75735,"million MMBtu"
"2021-06","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",33.46859,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3784.75461,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",33.46859,"million MMBtu"
