"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto.btu","consumption.uto.btu.units","generation","generation.units","total.consumption.btu","total.consumption.btu.units","consumption_gwh","ratio"
2004-02-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.10497,"million MMBtu",0,"million MMBtu",10.474,"thousand megawatthours",0.10497,"million MMBtu",30.6840105232388,2.92954081757102
2004-02-01,"CA","California",98,"Electric Power","NG","natural gas","percent",49.00525,"million MMBtu",6.46965,"million MMBtu",6128.56383,"thousand megawatthours",55.4749,"million MMBtu",16215.9894767612,2.64596892952018
2004-02-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",30.41736,"million MMBtu",0.04799,"million MMBtu",1658.76896,"thousand megawatthours",30.46536,"million MMBtu",8905.39608301666,5.36867779525888
2004-01-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.12335,"million MMBtu",0,"million MMBtu",12.308,"thousand megawatthours",0.12335,"million MMBtu",36.0567085647471,2.92953433252739
2004-01-01,"CA","California",98,"Electric Power","NG","natural gas","percent",47.2034,"million MMBtu",7.23406,"million MMBtu",5941.34026,"thousand megawatthours",54.43745,"million MMBtu",15912.7301958492,2.67830649306208
2004-01-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",31.70337,"million MMBtu",0.07078,"million MMBtu",1693.40277,"thousand megawatthours",31.77415,"million MMBtu",9287.97135340544,5.48479754370866
2004-01-01,"CA","California",98,"Electric Power","WND","wind","percent",1.30388,"million MMBtu",0,"million MMBtu",130.10173,"thousand megawatthours",1.30388,"million MMBtu",381.140017538731,2.92955380023564
2003-12-01,"CA","California",98,"Electric Power","NG","natural gas","percent",47.977,"million MMBtu",5.608,"million MMBtu",5819.216,"thousand megawatthours",53.585,"million MMBtu",15663.5486699795,2.69169397904796
2003-12-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.0434,"million MMBtu",0,"million MMBtu",4.238,"thousand megawatthours",0.0434,"million MMBtu",12.6863490207542,2.99347546501986
2003-12-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",32.70562,"million MMBtu",0.01832,"million MMBtu",1769.8928,"thousand megawatthours",32.72394,"million MMBtu",9565.60654779304,5.40462481557812
2003-12-01,"CA","California",98,"Electric Power","WND","wind","percent",2.05347,"million MMBtu",0,"million MMBtu",200.515,"thousand megawatthours",2.05347,"million MMBtu",600.254311604794,2.99356313295661
2003-11-01,"CA","California",98,"Electric Power","NG","natural gas","percent",47.312,"million MMBtu",5.135,"million MMBtu",5759.811,"thousand megawatthours",52.447,"million MMBtu",15330.8973984215,2.66170146874985
2003-11-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",29.5782,"million MMBtu",0.01153,"million MMBtu",1612.90923,"thousand megawatthours",29.58974,"million MMBtu",8649.44168371821,5.36263388096441
2003-11-01,"CA","California",98,"Electric Power","WND","wind","percent",1.92338,"million MMBtu",0,"million MMBtu",187.812,"thousand megawatthours",1.92338,"million MMBtu",562.227418883367,2.99356494198117
2003-11-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.14345,"million MMBtu",0,"million MMBtu",14.007,"thousand megawatthours",0.14345,"million MMBtu",41.932183572055,2.99365913986257
2003-10-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",32.48321,"million MMBtu",0.02062,"million MMBtu",1813.216,"thousand megawatthours",32.50483,"million MMBtu",9501.5580239696,5.24016886238021
2003-10-01,"CA","California",98,"Electric Power","WND","wind","percent",2.91503,"million MMBtu",0,"million MMBtu",284.643,"thousand megawatthours",2.91503,"million MMBtu",852.098801520023,2.99357019677288
2003-10-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.36257,"million MMBtu",0,"million MMBtu",35.404,"thousand megawatthours",0.36257,"million MMBtu",105.983630517393,2.99354961352933
2003-10-01,"CA","California",98,"Electric Power","NG","natural gas","percent",64.873,"million MMBtu",5.548,"million MMBtu",7601.398,"thousand megawatthours",70.422,"million MMBtu",20585.2090032154,2.70808198744697
2003-09-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.5718,"million MMBtu",0,"million MMBtu",55.834,"thousand megawatthours",0.5718,"million MMBtu",167.144109909383,2.99359010476382
2003-09-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",32.57979,"million MMBtu",0.01613,"million MMBtu",1853.24856,"thousand megawatthours",32.59591,"million MMBtu",9528.18181818182,5.14134046767144
2003-09-01,"CA","California",98,"Electric Power","NG","natural gas","percent",70.723,"million MMBtu",5.324,"million MMBtu",8076.85,"thousand megawatthours",76.046,"million MMBtu",22229.1727565039,2.75220819459368
2003-09-01,"CA","California",98,"Electric Power","WND","wind","percent",3.48143,"million MMBtu",0,"million MMBtu",339.95,"thousand megawatthours",3.48143,"million MMBtu",1017.66442560655,2.99357089456258
2003-08-01,"CA","California",98,"Electric Power","NG","natural gas","percent",78.123,"million MMBtu",5.597,"million MMBtu",8790.596,"thousand megawatthours",83.721,"million MMBtu",24472.6688102894,2.7839601331115
2003-08-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",34.20439,"million MMBtu",0.01425,"million MMBtu",1978.25275,"thousand megawatthours",34.21864,"million MMBtu",10002.5255773166,5.05624247322117
2003-08-01,"CA","California",98,"Electric Power","WND","wind","percent",4.05644,"million MMBtu",0,"million MMBtu",396.098,"thousand megawatthours",4.05644,"million MMBtu",1185.74685764396,2.99356941374095
2003-08-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.63442,"million MMBtu",0,"million MMBtu",61.949,"thousand megawatthours",0.63442,"million MMBtu",185.448699210757,2.9935705049437
2003-07-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.63885,"million MMBtu",0,"million MMBtu",62.382,"thousand megawatthours",0.63885,"million MMBtu",186.74364220988,2.993550097943
2003-07-01,"CA","California",98,"Electric Power","NG","natural gas","percent",83.856,"million MMBtu",5.885,"million MMBtu",9375.534,"thousand megawatthours",89.741,"million MMBtu",26232.3881905875,2.79796203507849
2003-07-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",34.85062,"million MMBtu",0.00405,"million MMBtu",2021.46245,"thousand megawatthours",34.85467,"million MMBtu",10188.4448991523,5.04013562020521
2003-07-01,"CA","California",98,"Electric Power","WND","wind","percent",4.42219,"million MMBtu",0,"million MMBtu",431.812,"thousand megawatthours",4.42219,"million MMBtu",1292.66004092371,2.99357137116084
2003-06-01,"CA","California",98,"Electric Power","NG","natural gas","percent",44.508,"million MMBtu",5.3,"million MMBtu",4936.148,"thousand megawatthours",49.807,"million MMBtu",14559.1932183572,2.9495050023535
2003-06-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",35.72317,"million MMBtu",0.00358,"million MMBtu",2104.95225,"thousand megawatthours",35.72674,"million MMBtu",10443.3615901783,4.96132945066964
2003-06-01,"CA","California",98,"Electric Power","WND","wind","percent",5.62453,"million MMBtu",0,"million MMBtu",549.217,"thousand megawatthours",5.62453,"million MMBtu",1644.1186787489,2.99356844152476
2003-06-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.92813,"million MMBtu",0,"million MMBtu",90.629,"thousand megawatthours",0.92813,"million MMBtu",271.303712364806,2.99356400671756
2003-05-01,"CA","California",98,"Electric Power","NG","natural gas","percent",36.6,"million MMBtu",5.254,"million MMBtu",4111.232,"thousand megawatthours",41.854,"million MMBtu",12234.4343759135,2.97585599059199
2003-05-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",31.94118,"million MMBtu",0.00019,"million MMBtu",1855.2793,"thousand megawatthours",31.94138,"million MMBtu",9336.85472084186,5.03258712628436
2003-05-01,"CA","California",98,"Electric Power","WND","wind","percent",4.64286,"million MMBtu",0,"million MMBtu",453.36,"thousand megawatthours",4.64286,"million MMBtu",1357.16457176264,2.99356928657721
2003-05-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.6955,"million MMBtu",0,"million MMBtu",67.913,"thousand megawatthours",0.6955,"million MMBtu",203.303127740427,2.99358190244028
2003-04-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",32.37551,"million MMBtu",0.00072,"million MMBtu",1874.1782,"thousand megawatthours",32.37623,"million MMBtu",9463.96667641041,5.04966212733154
2003-04-01,"CA","California",98,"Electric Power","NG","natural gas","percent",38.823,"million MMBtu",5.319,"million MMBtu",4430.687,"thousand megawatthours",44.142,"million MMBtu",12903.2446653025,2.9122446846962
2003-04-01,"CA","California",98,"Electric Power","WND","wind","percent",4.3428,"million MMBtu",0,"million MMBtu",424.06,"thousand megawatthours",4.3428,"million MMBtu",1269.45337620579,2.99357019338251
2003-04-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.61715,"million MMBtu",0,"million MMBtu",60.263,"thousand megawatthours",0.61715,"million MMBtu",180.400467699503,2.99355272222596
2003-03-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.51192,"million MMBtu",0,"million MMBtu",49.98709,"thousand megawatthours",0.51192,"million MMBtu",149.640456007016,2.99358206302898
2003-03-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",32.914,"million MMBtu",0.00249,"million MMBtu",1854.5587,"thousand megawatthours",32.91649,"million MMBtu",9621.89125986554,5.18823764374001
2003-03-01,"CA","California",98,"Electric Power","NG","natural gas","percent",48.472,"million MMBtu",5.15,"million MMBtu",5668.892,"thousand megawatthours",53.622,"million MMBtu",15674.364220988,2.76497845098972
2003-03-01,"CA","California",98,"Electric Power","WND","wind","percent",3.33347,"million MMBtu",0,"million MMBtu",325.502,"thousand megawatthours",3.33347,"million MMBtu",974.413914060216,2.99357274013744
