end_time,artist_name,track_name,ms_played,id
2021-02-19 12:25,Iration,Summer Nights,3340,6fVCBBlHif6zfqXAEHKJy8
2021-02-19 12:25,Feki,Built to Last,3490,6KFW4QqooQeCyUkHNPhvO8
2021-02-19 12:25,Mokita,With You,5510,0k1WUmIRnG3xU6fvvDVfRG
2021-02-19 12:25,Loote,Out Of My Head,14890,3E7ZwUMJFqpsDOJzEkBrQ7
2021-02-19 12:26,Sleeping At Last,Four,25010,4ZtFanR9U6ndgddUvNcjcG
2021-02-19 12:26,Alina Baraz,Floating (feat. Khalid) [filous Remix],5950,3Vtl4Xc9cKVs1UoenXtScn
2021-02-19 12:27,Quinn XCII,Candle,69210,1wa6QQsdSE3X2GbRljGpFk
2021-02-19 12:31,Troye Sivan,FOOLS,54196,0L5gFNrzHyh4OhMwEz6DGS
2021-02-19 12:31,Sia,"Audio (feat. Sia, Diplo, and Labrinth)",204093,100eDEmpWV5YGVCqHI0leU
2021-02-19 15:45,PUBLIC,Make You Mine,231573,5iFwAOB2TFkPJk8sMlxP8g
2021-02-19 15:49,Taylor Swift,Eyes Open,244586,69Kzq3FMkDwiSFBQzRckFD
2021-02-19 15:52,Taylor Swift,Call It What You Want,140460,1GwMQaZz6Au3QLDbjbMdme
2021-02-19 15:54,DVBBS,West Coast (feat. Quinn XCII),148565,4fCE1SCDulouoac9Q8XroU
2021-02-19 18:36,PUBLIC,Make You Mine,1393,5iFwAOB2TFkPJk8sMlxP8g
2021-02-19 18:36,PUBLIC,Make You Mine,5209,5iFwAOB2TFkPJk8sMlxP8g
2021-02-19 18:44,Alexander 23,IDK You Yet,20634,0j1Ia2lQWrcXrQZI4AdJlk
2021-02-19 18:44,PUBLIC,Make You Mine,232907,5iFwAOB2TFkPJk8sMlxP8g
2021-02-19 18:45,Ricky Montgomery,Line Without a Hook,4117,5NvOZCjZaGGGL597exlQWv
2021-02-19 18:46,LANY,good guys,59871,78ML3F5Lz3KiNkpnFAaR3q
2021-02-19 18:47,Lauv,i'm so tired...,74341,2TyrvelRm3VdyWK5r4ExYq
2021-02-19 18:50,5 Seconds of Summer,Ghost Of You,197411,1MhXdlCQPnO56T57MfmaRm
2021-02-19 18:51,AJR,100 Bad Days,45455,17FK4etx1u2NK60cptINMS
2021-02-19 18:54,Troye Sivan,Strawberries & Cigarettes,201539,3afkJSKX0EAMsJXTZnDXXJ
2021-02-19 18:57,Kodaline,Wherever You Are,116347,1cHYzbf9i27FIsHj91fLIY
2021-02-19 19:01,Christian French,bright side of the moon,190661,5r4G5w8ujwefEnrCT5uzoX
2021-02-19 19:02,Coyote Theory,This Side of Paradise,64724,79EkGysjP2dL5GdpeQjRxT
2021-02-19 19:06,Dayglow,Can I Call You Tonight?,278769,64lsIF5pw0sJY0gV5kz0RN
2021-02-19 19:09,Conan Gray,Wish You Were Sober,168880,0kn2gu8Pd03DiYHzRvX2Xk
2021-02-19 19:10,AJ Mitchell,Slow Dance (feat. Ava Max),23545,5FNS5Vj69AhRGJWjhrAd01
2021-02-19 19:10,Greyson Chance,shut up,2602,4kbj5MwxO1bq9wjT5g9HaA
